Ngrams,Negation,Contrast,Positive entities,Negative entities,Class
expected first half,false,0,1,0,positive
surging as high,false,0,0,1,positive
helping to reduce,false,0,0,1,positive
helped spain reduce,false,0,0,1,positive
better than forecasts,false,0,1,0,positive
seized in the,false,0,1,0,positive
in the united,false,0,1,0,positive
the united states,false,0,1,0,positive
united states in,false,0,1,0,positive
states in the,false,0,1,0,positive
in the first,false,0,1,0,positive
the first six,false,0,1,0,positive
first six months,false,0,1,0,positive
six months of,false,0,1,0,positive
close at record,false,0,0,0,positive
at record despite,false,0,0,0,positive
record despite disruption,false,0,0,0,positive
closed at a,false,0,0,0,positive
at a record,false,0,0,0,positive
a record high,false,0,0,0,positive
became hot collectibles,false,0,0,0,positive
continue to appreciate,false,0,0,0,positive
profit taking in,false,0,0,0,positive
taking in stocks,false,0,0,0,positive
has been recognised,false,0,0,0,positive
economic force for,true,0,1,0,positive
force for the,true,0,1,0,positive
for the good,true,0,1,0,positive
would give marketing,false,0,0,1,positive
give marketing new,false,0,0,1,positive
marketing new respectability,false,0,0,1,positive
new respectability and,false,0,0,1,positive
shot into the,false,0,0,0,positive
into the front,false,0,0,0,positive
the front ranks,false,0,0,0,positive
front ranks of,false,0,0,0,positive
ranks of space,false,0,0,0,positive
poised to land,false,0,0,0,positive
to land a,false,0,0,0,positive
a  billion,false,0,0,0,positive
passed off peacefully,false,0,1,0,positive
off peacefully and,false,0,1,0,positive
peacefully and in,false,0,1,0,positive
and in an,false,0,1,0,positive
in an impressive,false,0,1,0,positive
potential to try,false,0,0,1,positive
to try to,false,0,0,1,positive
try to clear,false,0,0,1,positive
to clear tough,false,0,0,1,positive
clear tough price,false,0,0,1,positive
far exceeding expectations,false,0,0,0,positive
exceeding expectations and,false,0,0,0,positive
expectations and indicating,false,0,0,0,positive
and indicating a,false,0,0,0,positive
indicating a level,false,0,0,0,positive
a level of,false,0,0,0,positive
level of business,false,0,0,0,positive
of business confidence,false,0,0,0,positive
business confidence that,false,0,0,0,positive
confidence that could,false,0,0,0,positive
that could stall,false,0,0,0,positive
could stall any,false,0,0,0,positive
award a year,false,0,0,0,positive
a year franchise,false,0,0,0,positive
year franchise contract,false,0,0,0,positive
in line with,false,0,0,0,positive
line with expectations,false,0,0,0,positive
expected to top,false,0,0,0,positive
boosted by renewed,false,0,1,0,positive
by renewed strength,false,0,1,0,positive
surprisingly sharp cut,false,0,0,0,positive
chalked up another,true,0,0,0,positive
up another record,true,0,0,0,positive
another record closing,true,0,0,0,positive
surpassing tuesday s,false,0,0,0,positive
tuesday s record,false,0,0,0,positive
ended bourse trade,false,0,0,0,positive
bourse trade over,false,0,0,0,positive
trade over half,false,0,0,0,positive
over half a,false,0,0,0,positive
half a percentage,false,0,0,0,positive
a percentage point,false,0,0,0,positive
up  sees,false,0,0,0,positive
sees more growth,false,0,0,0,positive
predicted a slight,false,0,0,1,positive
a slight increase,false,0,0,1,positive
unique vision of,false,0,0,0,positive
vision of the,false,0,0,0,positive
of the digital,false,0,0,0,positive
very significant venture,false,0,0,0,positive
better second quarter,false,0,1,0,positive
second quarter growth,false,0,1,0,positive
shook itself out,false,0,0,0,positive
itself out of,false,0,0,0,positive
out of a,false,0,0,0,positive
improved perceptibly recently,false,0,0,0,positive
zoom  sees,false,0,0,0,positive
sees record year,false,0,0,0,positive
more than doubled,false,0,0,0,positive
helped by a,false,0,0,0,positive
a  percent,false,0,0,0,positive
picking up strongly,false,0,0,0,positive
decent acceleration in,false,0,1,0,positive
acceleration in growth,false,0,1,0,positive
acquitted of fraud,false,0,0,0,positive
found him not,true,0,0,1,positive
him not guilty,true,0,0,1,positive
could help revive,false,0,0,0,positive
rose to the,false,0,0,0,positive-uncertain
to the highest,false,0,0,0,positive-uncertain
the highest level,false,0,0,0,positive-uncertain
disappointing and the,false,0,0,3,negative
and the general,false,0,0,3,negative
the general feeling,false,0,0,3,negative
general feeling is,false,0,0,3,negative
feeling is that,false,0,0,3,negative
is that it,false,0,0,3,negative
that it will,false,0,0,3,negative
failed to gain,false,0,0,3,negative
to gain any,false,0,0,3,negative
gain any meaningful,false,0,0,3,negative
any meaningful momentum,false,0,0,3,negative
meaningful momentum on,false,0,0,3,negative
momentum on the,false,0,0,3,negative
on the back,false,0,0,3,negative
the back of,false,0,0,3,negative
back of the,false,0,0,3,negative
of the bundebank,false,0,0,3,negative
the bundebank s,false,0,0,3,negative
bundebank s larger,false,0,0,3,negative
s larger than,false,0,0,3,negative
larger than expected,false,0,0,3,negative
than expected rate,false,0,0,3,negative
expected rate cut,false,0,0,3,negative
rate cut and,false,0,0,3,negative
cut and is,false,0,0,3,negative
and is unlikely,false,0,0,3,negative
is unlikely to,false,0,0,3,negative
short term risks,true,0,0,1,negative
term risks are,true,0,0,1,negative
risks are now,true,0,0,1,negative
are now very,true,0,0,1,negative
now very much,true,0,0,1,negative
very much skewed,true,0,0,1,negative
much skewed to,true,0,0,1,negative
pressed on with,false,0,0,0,negative
on with a,false,0,0,0,negative
with a strike,false,0,0,0,negative
caused serious damage,false,0,0,0,negative
ran out of,false,0,0,0,negative
out of steam,false,0,0,0,negative
indicted for huge,false,0,0,1,negative
for huge pyramid,false,0,0,1,negative
huge pyramid scheme,false,0,0,1,negative
burnt by the,false,0,0,1,negative
by the recent,false,0,0,1,negative
the recent rout,false,0,0,1,negative
recent rout of,false,0,0,1,negative
rout of small,false,0,0,1,negative
may go down,false,0,0,0,negative
go down on,false,0,0,0,negative
down on record,false,0,0,0,negative
summer lethargy should,false,0,0,1,negative
lethargy should prevent,false,0,0,1,negative
should prevent them,false,0,0,1,negative
prevent them breaking,false,0,0,1,negative
them breaking higher,false,0,0,1,negative
breaking higher in,false,0,0,1,negative
higher in the,false,0,0,1,negative
could not find,true,0,0,0,negative
not find direction,true,0,0,0,negative
cut a growing,false,0,0,0,negative
a growing dependence,false,0,0,0,negative
have almost made,false,0,0,0,negative
almost made nigeria,false,0,0,0,negative
made nigeria the,false,0,0,0,negative
nigeria the laughing,false,0,0,0,negative
cheating it out,false,0,1,0,negative
it out of,false,0,1,0,negative
out of its,false,0,1,0,negative
of its rightful,false,0,1,0,negative
its rightful share,false,0,1,0,negative
rightful share of,false,0,1,0,negative
are not getting,true,0,1,0,negative
not getting their,true,0,1,0,negative
getting their fair,true,0,1,0,negative
failed to appear,false,0,0,0,negative
an uncertain week,false,0,0,1,negative
see dull trade,false,0,0,0,negative
ended a dull,false,0,0,0,negative
a dull week,false,0,0,0,negative
joined the argument,false,0,0,0,negative
contending that the,false,0,0,0,negative
that the tobacco,false,0,0,0,negative
the tobacco industry,false,0,0,0,negative
tobacco industry peddled,false,0,0,0,negative
industry peddled an,false,0,0,0,negative
peddled an addictive,false,0,0,0,negative
an addictive product,false,0,0,0,negative
addictive product that,false,0,0,0,negative
product that caused,false,0,0,0,negative
wins little sympathy,false,0,0,1,negative
received a frosty,false,0,0,0,negative
a frosty response,false,0,0,0,negative
reluctant to endorse,false,0,1,1,negative
miscellaneous charges have,false,0,0,0,negative
charges have led,false,0,0,0,negative
have led to,false,0,0,0,negative
well below an,false,0,1,0,negative
below an prediction,false,0,1,0,negative
new flare up,false,0,0,0,negative
flare up in,false,0,0,0,negative
up in the,false,0,0,0,negative
in the taiwan,false,0,0,0,negative
pressure was mounting,false,0,0,0,negative
estimated  million,false,0,0,0,negative
million ringgit in,false,0,0,0,negative
ringgit in losses,false,0,0,0,negative
in losses from,false,0,0,0,negative
losses from the,false,0,0,0,negative
from the blackout,false,0,0,0,negative
allowed corruption into,true,0,0,1,negative
corruption into the,true,0,0,1,negative
into the market,true,0,0,1,negative
the market and,true,0,0,1,negative
market and caused,true,0,0,1,negative
and caused a,true,0,0,1,negative
caused a never,true,0,0,1,negative
a never ending,true,0,0,1,negative
never ending series,true,0,0,1,negative
would not improve,true,0,1,0,negative
percent net drop,false,0,0,0,negative
has been cancelled,false,0,0,0,negative
refused to give,false,0,0,1,negative
to give permission,false,0,0,1,negative
did not give,true,0,0,2,negative
not give the,true,0,0,2,negative
give the green,true,0,0,2,negative
fears of gathering,false,0,0,0,negative
of gathering more,false,0,0,0,negative
gathering more than,false,0,0,0,negative
than  young,false,0,0,0,negative
had never agreed,true,0,0,1,negative
refused to participate,false,0,0,0,negative
row over the,false,0,0,0,negative
over the funds,false,0,0,0,negative
the funds erupted,false,0,0,0,negative
gets late wakeup,false,0,0,1,negative
late wakeup call,false,0,0,1,negative
wakeup call to,false,0,0,1,negative
call to move,false,0,0,1,negative
to move into,false,0,0,1,negative
missed her wake,false,0,0,0,negative
her wake up,false,0,0,0,negative
wake up call,false,0,0,0,negative
ended a bad,false,0,0,0,negative
a bad week,false,0,0,0,negative
bad week by,false,0,0,0,negative
week by crashing,false,0,0,0,negative
will not allow,true,0,0,0,negative
not allow his,true,0,0,0,negative
allow his williams,true,0,0,0,negative
his williams team,true,0,0,0,negative
williams team mate,true,0,0,0,negative
team mate damon,true,0,0,0,negative
mate damon hill,true,0,0,0,negative
damon hill an,true,0,0,0,negative
hill an easy,true,0,0,0,negative
an easy run,true,0,0,0,negative
easy run in,true,0,0,0,negative
run in to,true,0,0,0,negative
in to the,true,0,0,0,negative
struggle to learn,false,0,0,0,negative
up the creek,false,0,0,0,negative
the creek without,false,0,0,0,negative
creek without a,false,0,0,0,negative
submerged any faint,false,0,0,2,negative
any faint chance,false,0,0,2,negative
faint chance england,false,0,0,2,negative
chance england had,false,0,0,2,negative
england had of,false,0,0,2,negative
had of fighting,false,0,0,2,negative
of fighting their,false,0,0,2,negative
fighting their way,false,0,0,2,negative
their way back,false,0,0,2,negative
way back into,false,0,0,2,negative
back into an,false,0,0,2,negative
omens looked distinctly,false,0,0,0,negative
looked distinctly unpromising,false,0,0,0,negative
fell short of,false,0,0,1,negative
short of becoming,false,0,0,1,negative
of becoming the,false,0,0,1,negative
becoming the sixth,false,0,0,1,negative
the sixth pakistan,false,0,0,1,negative
tightened the screws,false,0,0,0,negative
suffered a fourth,false,0,0,0,negative
a fourth successive,false,0,0,0,negative
fourth successive defeat,false,0,0,0,negative
just  percent,false,0,0,0,negative
against the injunction,false,0,0,0,negative
embroiled in a,false,0,0,1,negative
in a critical,false,0,0,1,negative
a critical legal,false,0,0,1,negative
extracted an injunction,false,0,0,0,negative
faces regulatory hurdles,false,0,0,0,negative
reeling from a,false,0,0,0,negative
from a series,false,0,0,0,negative
a series of,false,0,0,0,negative
series of messy,false,0,0,0,negative
of messy scandals,false,0,0,0,negative
messy scandals and,false,0,0,0,negative
individual instances of,false,0,0,0,negative
instances of horrendous,false,0,0,0,negative
of horrendous behaviour,false,0,0,0,negative
urged news media,false,0,0,0,negative
news media on,false,0,0,0,negative
media on sunday,false,0,0,0,negative
on sunday against,false,0,0,0,negative
sunday against trampling,false,0,0,0,negative
against trampling local,false,0,0,0,negative
trampling local feelings,false,0,0,0,negative
local feelings underfoot,false,0,0,0,negative
feelings underfoot when,false,0,0,0,negative
underfoot when covering,false,0,0,0,negative
acquired a reputation,false,0,0,0,negative
a reputation for,false,0,0,0,negative
reputation for trouble,false,0,0,0,negative
they re mad,false,0,0,1,negative
re mad as,false,0,0,1,negative
mad as hell,false,0,0,1,negative
fell  percent,false,0,0,0,negative
had slipped by,false,0,0,0,negative
slipped by nearly,false,0,0,0,negative
by nearly a,false,0,0,0,negative
ends sharply down,false,0,1,1,negative
sharply down on,false,0,1,1,negative
down on new,false,0,1,1,negative
ended european trading,false,0,1,1,negative
european trading sharply,false,0,1,1,negative
trading sharply down,false,0,1,1,negative
starting to lose,false,0,0,1,negative
to lose momentum,false,0,0,1,negative
added to the,true,0,0,0,negative
to the country,true,0,0,0,negative
the country s,true,0,0,0,negative
country s economic,true,0,0,0,negative
diving to a,false,0,0,1,negative
to a month,false,0,0,1,negative
a month low,false,0,0,1,negative
brussels  contention,false,0,0,0,negative
could start a,false,0,0,1,negative
start a spiralling,false,0,0,1,negative
a spiralling war,false,0,0,1,negative
spiralling war of,false,0,0,1,negative
a  percent,false,0,0,0,negative
hit by weaker,false,0,0,1,negative
by weaker dollar,false,0,0,1,negative
dollar  bunds,false,0,0,1,negative
bunds  lower,false,0,0,1,negative
lower wall street,false,0,0,1,negative
refused to work,false,0,0,0,negative
filed for chapter,false,0,0,0,negative
chapter  bankruptcy,false,0,0,0,negative
warned on tuesday,false,0,0,0,negative
on tuesday of,false,0,0,0,negative
tuesday of tension,false,0,0,0,negative
of tension and,false,0,0,0,negative
warned on tuesday,false,0,0,0,negative
on tuesday of,false,0,0,0,negative
tuesday of protests,false,0,0,0,negative
of protests including,false,0,0,0,negative
protests including a,false,0,0,0,negative
including a likely,false,0,0,0,negative
a likely strike,false,0,0,0,negative
likely strike over,false,0,0,0,negative
started the week,false,0,0,1,negative
the week badly,false,0,0,1,negative
slipping  percent,false,0,0,0,negative
european upmarket threat,false,0,0,0,negative
bloated prices and,false,0,0,1,negative
prices and workforces,false,0,0,1,negative
and workforces and,false,0,0,1,negative
workforces and complacent,false,0,0,1,negative
tend to give,false,0,0,2,negative
to give up,false,0,0,2,negative
give up the,false,0,0,2,negative
up the ghost,false,0,0,2,negative
the ghost pretty,false,0,0,2,negative
failed to act,false,0,0,0,negative
to act with,false,0,0,0,negative
act with due,false,0,0,0,negative
with due skill,false,0,0,0,negative
skill  care,false,0,0,0,negative
care and diligence,false,0,0,0,negative
started disciplinary action,false,0,0,0,negative
disciplinary action against,false,0,0,0,negative
up  billion,false,0,0,0,negative
billion of unauthorised,false,0,0,0,negative
of unauthorised trading,false,0,0,0,negative
unauthorised trading losses,false,0,0,0,negative
trading losses which,false,0,0,0,negative
losses which crippled,false,0,0,0,negative
already hit by,false,0,0,1,negative
hit by uncertainty,false,0,0,1,negative
started the week,false,0,0,1,negative
the week badly,false,0,0,1,negative
slipping  percent,false,0,0,0,negative
falling the most,false,0,0,0,negative
yield creeping back,false,0,0,0,negative
creeping back up,false,0,0,0,negative
were unable to,false,0,0,0,negative
unable to hold,false,0,0,0,negative
to hold friday,false,0,0,0,negative
hold friday s,false,0,0,0,negative
friday s record,false,0,0,0,negative
s record closing,false,0,0,0,negative
started sharply lower,false,0,1,0,negative
sparked an early,false,0,0,1,negative
an early markdown,false,0,0,1,negative
armed with grenades,false,0,0,1,negative
with grenades and,false,0,0,1,negative
grenades and possibly,false,0,0,1,negative
and possibly other,false,0,0,1,negative
take issue with,false,0,0,0,negative
issue with world,false,0,0,0,negative
with world fastest,false,0,0,0,negative
world fastest man,false,0,0,0,negative
mounting a campaign,false,0,0,1,negative
a campaign to,false,0,0,1,negative
campaign to strip,false,0,0,1,negative
to strip u,false,0,0,1,negative
strip u s,false,0,0,1,negative
s  sprinter,false,0,0,1,negative
sprinter michael johnson,false,0,0,1,negative
michael johnson of,false,0,0,1,negative
johnson of his,false,0,0,1,negative
of his title,false,0,0,1,negative
his title as,false,0,0,1,negative
title as the,false,0,0,1,negative
as the world,false,0,0,1,negative
the world s,false,0,0,1,negative
involved in a,false,0,0,0,negative
in a lengthy,false,0,0,0,negative
a lengthy battle,false,0,0,0,negative
accepted the firing,false,0,0,0,negative
selloff irregular press,false,0,0,1,negative
lacked vision and,false,0,0,0,negative
vision and was,false,0,0,0,negative
and was irregula,false,0,0,0,negative
failed to consistently,false,0,1,0,negative
to consistently represent,false,0,1,0,negative
agreed to plead,false,0,0,2,negative
to plead guilty,false,0,0,2,negative
admitted conspiring to,false,0,0,2,negative
conspiring to fix,false,0,0,2,negative
to fix prices,false,0,0,2,negative
fix prices to,false,0,0,2,negative
prices to eliminate,false,0,0,2,negative
to eliminate competition,false,0,0,2,negative
eliminate competition in,false,0,0,2,negative
competition in the,false,0,0,2,negative
in the worldwide,false,0,0,2,negative
the worldwide market,false,0,0,2,negative
worldwide market for,false,0,0,2,negative
market for lysine,false,0,0,2,negative
lysine  an,false,0,0,2,negative
left in may,false,0,0,1,negative
in may due,false,0,0,1,negative
may due to,false,0,0,1,negative
due to irreconcilable,false,0,0,1,negative
just didn t,false,0,0,0,negative
didn t make,false,0,0,0,negative
t make sense,false,0,0,0,negative
focus on falling,false,0,0,0,negative
on falling pipeline,false,0,0,0,negative
giving back some,false,0,0,0,negative
back some of,false,0,0,0,negative
some of its,false,0,0,0,negative
threatens to throw,false,0,0,1,negative
to throw the,false,0,0,1,negative
throw the recovery,false,0,0,1,negative
the recovery plan,false,0,0,1,negative
recovery plan off,false,0,0,1,negative
efforts to sell,false,0,0,1,negative
to sell the,false,0,0,1,negative
sell the ailing,false,0,0,1,negative
the ailing company,false,0,0,1,negative
ailing company fell,false,0,0,1,negative
set to argue,false,0,0,0,negative
could eventually lead,false,0,0,0,negative
eventually lead to,false,0,0,0,negative
lead to the,false,0,0,0,negative
a  million,false,0,0,1,negative
million real loss,false,0,0,1,negative
its operations lost,false,0,0,0,negative
higher than expected,false,0,0,0,negative
than expected losses,false,0,0,0,negative
closure which he,false,0,0,0,negative
which he said,false,0,0,0,negative
he said harmed,false,0,0,0,negative
sees some de,false,0,0,0,negative
some de escalation,false,0,0,0,negative
easing of tensions,false,0,0,0,negative
of tensions over,false,0,0,0,negative
tensions over disputed,false,0,0,0,negative
over disputed subsidies,false,0,0,0,negative
disputed subsidies by,false,0,0,0,negative
subsidies by the,false,0,0,0,negative
by the state,false,0,0,0,negative
file a complaint,false,0,0,0,negative
study appeal against,false,0,0,0,negative
sentenced to death,false,0,0,0,negative
to death on,false,0,0,0,negative
death on charges,false,0,0,0,negative
on charges of,false,0,0,0,negative
charges of mutiny,false,0,0,0,negative
of mutiny and,false,0,0,0,negative
studying ways to,false,0,0,0,negative
ways to challenge,false,0,0,0,negative
preparing to challenge,false,0,0,0,negative
some foreign investors,false,0,0,2,negative
foreign investors have,false,0,0,2,negative
investors have been,false,0,0,2,negative
have been put,false,0,0,2,negative
bid against each,false,0,0,2,negative
against each other,false,0,0,2,negative
each other for,false,0,0,2,negative
other for the,false,0,0,2,negative
for the same,false,0,0,2,negative
racist  charge,false,0,0,1,negative
accused by viewers,false,0,0,0,negative
by viewers of,false,0,0,0,negative
viewers of promoting,false,0,0,0,negative
drew complaints from,false,0,0,0,negative
complaints from viewers,false,0,0,0,negative
growing public concern,false,0,0,2,negative
public concern about,false,0,0,2,negative
concern about the,false,0,0,2,negative
about the use,false,0,0,2,negative
the use of,false,0,0,2,negative
use of demonic,false,0,0,2,negative
of demonic images,false,0,0,2,negative
were off the,false,0,0,0,negative
off the day,false,0,0,0,negative
the day s,false,0,0,0,negative
pares the gains,false,0,0,0,negative
saw signs that,false,0,0,0,negative
signs that the,false,0,0,0,negative
that the rally,false,0,0,0,negative
the rally could,false,0,0,0,negative
rally could be,false,0,0,0,negative
could be losing,false,0,0,0,negative
shortage of quality,false,0,0,0,negative
of quality coffee,false,0,0,0,negative
quality coffee available,false,0,0,0,negative
closing  lower,false,0,0,0,negative
skimmed  points,false,0,0,0,negative
kept a lid,false,0,0,0,negative
held a series,false,0,0,0,negative
a series of,false,0,0,0,negative
series of one,false,0,0,0,negative
of one day,false,0,0,0,negative
one day strikes,false,0,0,0,negative
day strikes in,false,0,0,0,negative
strikes in a,false,0,0,0,negative
have staged short,false,0,0,1,negative
staged short stoppages,false,0,0,1,negative
had been affected,false,0,0,0,negative
reasonable risk of,false,0,1,0,negative
risk of that,false,0,1,0,negative
of that happening,false,0,1,0,negative
forced it to,false,0,0,1,negative
it to call,false,0,0,1,negative
to call off,false,0,0,1,negative
vowed to fight,false,0,0,0,negative
back on the,false,0,0,0,negative
on the rampage,false,0,0,0,negative
ecological warfare has,false,0,0,1,negative
warfare has broken,false,0,0,1,negative
has broken out,false,0,0,1,negative
seen as the,false,0,0,0,negative
as the new,false,0,0,0,negative
the new business,false,0,0,0,negative
were wounded in,false,0,0,0,negative
wounded in riots,false,0,0,0,negative
would be excluded,false,0,0,0,negative
be excluded from,false,0,0,0,negative
excluded from the,false,0,0,0,negative
hit by a,false,0,0,1,negative
by a weakening,false,0,0,1,negative
a weakening franc,false,0,0,1,negative
weakening franc and,false,0,0,1,negative
franc and fears,false,0,0,1,negative
and fears of,false,0,0,1,negative
recent and projected,false,0,0,0,negative
and projected losses,false,0,0,0,negative
projected losses and,false,0,0,0,negative
losses and uncertainties,false,0,0,0,negative
and uncertainties facing,false,0,0,0,negative
uncertainties facing the,false,0,0,0,negative
reported a loss,false,0,0,0,negative
projected a loss,false,0,0,0,negative
have been hurt,false,0,0,1,negative
falling to minus,false,0,0,0,negative
to minus seven,false,0,0,0,negative
would stay at,false,0,0,1,negative
stay at rock,false,0,0,1,negative
at rock bottom,false,0,0,1,negative
grew unexpectedly gloomy,false,0,0,2,negative
falling to minus,false,0,0,0,negative
to minus seven,false,0,0,0,negative
potential worry in,false,0,0,1,negative
worry in looking,false,0,0,1,negative
in looking at,false,0,0,1,negative
looking at the,false,0,0,1,negative
at the number,false,0,0,1,negative
the number of,false,0,0,1,negative
number of infected,false,0,0,1,negative
of infected animals,false,0,0,1,negative
infected animals that,false,0,0,1,negative
animals that entered,false,0,0,1,negative
hard to get,false,0,1,2,negative
to get rid,false,0,1,2,negative
get rid of,false,0,1,2,negative
rid of the,false,0,1,2,negative
of the epidemic,false,0,1,2,negative
the epidemic any,false,0,1,2,negative
epidemic any faster,false,0,1,2,negative
any faster without,false,0,1,2,negative
faster without slaughtering,false,0,1,2,negative
without slaughtering vast,false,0,1,2,negative
showing a drop,false,0,0,0,negative
have threatened to,false,0,0,2,negative
threatened to bring,false,0,0,2,negative
to bring it,false,0,0,2,negative
free falling peso,false,0,0,1,negative
stubbornly high interest,false,0,0,1,negative
high interest rates,false,0,0,1,negative
predicted a second,false,0,0,0,negative
a second quarter,false,0,0,0,negative
second quarter loss,false,0,0,0,negative
reported a surprisingly,false,0,1,0,negative
a surprisingly large,false,0,1,0,negative
large  million,false,0,1,0,negative
million fiscal first,false,0,1,0,negative
fiscal first quarter,false,0,1,0,negative
first quarter loss,false,0,1,0,negative
blaming a decline,false,0,0,0,negative
enormous financial burden,true,0,1,0,negative
vigorously defend itself,false,0,1,1,negative
defend itself against,false,0,1,1,negative
add to suits,false,0,0,0,negative
to suits against,false,0,0,0,negative
what we re,false,0,0,0,negative
we re concerned,false,0,0,0,negative
re concerned about,false,0,0,0,negative
concerned about is,false,0,0,0,negative
about is the,false,0,0,0,negative
is the ripple,false,0,0,0,negative
the ripple effect,false,0,0,0,negative
it may also,false,0,0,1,negative
may also translate,false,0,0,1,negative
also translate into,false,0,0,1,negative
translate into higher,false,0,0,1,negative
into higher prices,false,0,0,1,negative
higher prices for,false,0,0,1,negative
prices for hamburgers,false,0,0,1,negative
hamburgers  pizzas,false,0,0,1,negative
pizzas and other,false,0,0,1,negative
and other fast,false,0,0,1,negative
other fast food,false,0,0,1,negative
the economy was,true,0,0,0,negative
economy was slowing,true,0,0,0,negative
was slowing from,true,0,0,0,negative
slowing from its,true,0,0,0,negative
from its burst,true,0,0,0,negative
its burst of,true,0,0,0,negative
burst of growth,true,0,0,0,negative
of growth in,true,0,0,0,negative
growth in the,true,0,0,0,negative
in the second,true,0,0,0,negative
the second quarter,true,0,0,0,negative
second quarter without,true,0,0,0,negative
underwent a second,false,0,0,0,negative
a second day,false,0,0,0,negative
second day of,false,0,0,0,negative
day of court,false,0,0,0,negative
applied for an,false,0,0,1,negative
for an injunction,false,0,0,1,negative
an injunction to,false,0,0,1,negative
stop the merger,false,0,0,1,negative
died at the,false,0,0,0,negative
at the age,false,0,0,0,negative
the age of,false,0,0,0,negative
filed lawsuits tuesday,false,0,0,0,negative
lawsuits tuesday against,false,0,0,0,negative
s  priorities,false,0,0,0,negative
priorities would be,false,0,0,0,negative
would be elimination,false,0,0,0,negative
be elimination of,false,0,0,0,negative
elimination of unfair,false,0,0,0,negative
of unfair export,false,0,0,0,negative
unfair export subsidies,false,0,0,0,negative
export subsidies and,false,0,0,0,negative
subsidies and controls,false,0,0,0,negative
and controls on,false,0,0,0,negative
controls on so,false,0,0,0,negative
on so called,false,0,0,0,negative
undergoes u s,false,0,0,0,negative
s  grilling,false,0,0,0,negative
faced a three,false,0,0,0,negative
a three hour,false,0,0,0,negative
three hour grilling,false,0,0,0,negative
threatens at the,false,0,0,2,negative
at the last,false,0,0,2,negative
the last minute,false,0,0,2,negative
last minute to,false,0,0,2,negative
applied for an,false,0,0,1,negative
for an injunction,false,0,0,1,negative
an injunction to,false,0,0,1,negative
fighting the action,false,0,0,1,negative
the action personally,false,0,0,1,negative
action personally and,false,0,0,1,negative
personally and underwent,false,0,0,1,negative
and underwent several,false,0,0,1,negative
underwent several hours,false,0,0,1,negative
several hours of,false,0,0,1,negative
pulled out of,false,0,0,0,negative
out of talks,false,0,0,0,negative
refused to accept,false,0,0,0,negative
sank to its,false,0,0,1,negative
to its lowest,false,0,0,1,negative
its lowest level,false,0,0,1,negative
lowest level of,false,0,0,1,negative
level of the,false,0,0,1,negative
of the year,false,0,0,1,negative
the year a,false,0,0,1,negative
a  percent,false,0,0,0,negative
was swollen by,false,0,0,0,negative
swollen by one,false,0,0,0,negative
by one off,false,0,0,0,negative
one off gains,false,0,0,0,negative
off gains from,false,0,0,0,negative
gains from selling,false,0,0,0,negative
ended the day,false,0,0,0,negative
the day down,false,0,0,0,negative
took the biggest,false,0,0,0,negative
the biggest battering,false,0,0,0,negative
for  million,false,0,0,0,negative
million  down,false,0,0,0,negative
by  percent,false,0,0,0,negative
to  million,false,0,0,0,negative
fallen well below,false,0,1,0,negative
still well short,false,0,1,2,negative
well short of,false,0,1,2,negative
short of the,false,0,1,2,negative
the  pence,false,0,1,2,negative
pence  level,false,0,1,2,negative
level of its,false,0,1,2,negative
of its flotation,false,0,1,2,negative
hit a further,false,0,0,2,negative
a further stumbling,false,0,0,2,negative
further stumbling block,false,0,0,2,negative
threatens at the,false,0,0,2,negative
at the last,false,0,0,2,negative
the last minute,false,0,0,2,negative
last minute to,false,0,0,2,negative
failed to give,false,0,0,1,negative
to give buoyancy,false,0,0,1,negative
improperly used his,false,0,0,0,negative
used his position,false,0,0,0,negative
burnt an australian,false,0,0,0,negative
an australian flag,false,0,0,0,negative
staged rallies in,false,0,0,0,negative
rallies in brisbane,false,0,0,0,negative
in brisbane and,false,0,0,0,negative
brisbane and adelaide,false,0,0,0,negative
ended in a,false,0,0,0,negative
in a riot,false,0,0,0,negative
anti government rally,false,0,0,0,negative
not be easy,true,0,0,0,negative
complaints surge over,false,0,0,0,negative
did not pay,true,0,0,0,negative
not pay out,true,0,0,0,negative
did not correspond,true,0,0,0,negative
hastened the downward,false,0,0,0,negative
the downward correction,false,0,0,0,negative
sparked violent protests,false,0,0,1,negative
backfire and spark,false,0,0,0,negative
expected to decline,false,0,0,1,negative
hugs the slow,false,0,0,1,negative
the slow lane,false,0,0,1,negative
does not look,true,0,0,1,negative
not look like,true,0,0,1,negative
look like it,true,0,0,1,negative
like it will,true,0,0,1,negative
it will be,true,0,0,1,negative
will be moving,true,0,0,1,negative
be moving out,true,0,0,1,negative
moving out of,true,0,0,1,negative
out of the,true,0,0,1,negative
worst campus violence,false,0,0,1,negative
blocking their efforts,false,0,0,0,negative
shows a lack,false,0,0,0,negative
a lack of,false,0,0,0,negative
lack of leadership,false,0,0,0,negative
compensation and losses,false,0,0,0,negative
failure to address,false,0,0,0,negative
failure to address,true,0,0,0,negative
to address the,true,0,0,0,negative
address the economic,true,0,0,0,negative
the economic and,true,0,0,0,negative
economic and political,true,0,0,0,negative
facing financial collapse,false,0,1,0,negative
faces financial collapse,false,0,1,0,negative
face a liquidity,false,0,1,0,negative
a liquidity crisis,false,0,1,0,negative
liquidity crisis and,false,0,1,0,negative
crisis and financial,false,0,1,0,negative
looks really bad,false,0,1,0,negative
unfavorable economic conditions,true,0,0,0,negative
